art_sifra,agp_id,sifra,vpc,aktivan,stanje,art_naziv,kataloski,grupanaziv,proizvodjac,hash
140128,179,110070,33.248,0,0,"SBOX hladnjak za laptop 17,3 PAD CP-12",1000585,Dodatna oprema za laptope,SBOX,99b2e3ce71c007b82e47bf9997c4366c
140129,51,110070,23.761,0,0,"SBOX USB HUB DH-1 3x USB 2.0+ 2x 3,5mm",DH-1,Adapteri i kontroleri,SBOX,f7ace9919ea4f8e5bfdd9cecfaf2d741
140130,38,100005,2278.248,0,0,Epson projektor EB-1781W (V11H794040),V11H794040,Video projektori,Epson,c223fa1500805afd4bf91128695aab39
140131,3,100006,1471.026,0,0,Laptop Acer Aspire A515-52G-5197 (NX.H5PEX.003),NX.H5PEX.003,Laptopi,Acer,0c4d78f378373bfee6a0550d43f09587
140132,308,198338,18.974,0,0,City Mobil bluetooth za auto CARB2,18067,Oprema za mobitele,CityMobil,9b1e49afb6a8e5a827d73d1a65fe23da
140133,3,100000,806.282,0,0,Laptop HP 250 G6 (3QM27EA),3QM27EA,Laptopi,HP,3006419c9f66fc9be61e620c6e0183ca
140134,306,556441,530.855,0,0,Veš mašina Gorenje WE60S3,729291,Perilice i sušilice rublja,Gorenje,0c07b2da9b6c6f3bca10b7a3c246bde7
140135,3,100000,1072.179,0,0,Laptop HP 250 G6 (4LT15EA),4LT15EA,Laptopi,HP,1aea1daa2c09dd2ce3046562e5105f96
140136,105,200731,33.248,0,0,Tesla daljnski upravljač za TV,,Televizori,Tesla,dd34351f49477f1eecb80a673d3fd09b
140137,3,100009,1898.376,0,0,Laptop Lenovo Legion Y530-15ICH (81FV00W5SC),81FV00W5SC,Laptopi,Lenovo,9430a735cb0b52d370b898e8120e4f32
140138,3,100009,1138.632,0,0,Laptop Lenovo IdeaPad 330-15IKB (81DC00P1SC),81DC00P1SC,Laptopi,Lenovo,397374331d72465e91bdf43b1c6c5f55
140139,326,000079,44.444,0,0,Usluge instalacija i konfiguracije video nadzora,,Usluge-mrežna oprema,IMTEC d.o.o. Sarajevo,9146d1e37c4a75450ba023c525085822
140140,3,100009,2278.248,0,0,Laptop Lenovo ThinkPad E480 (20KQS0H900),20KQS0H900,Laptopi,Lenovo,9f60155310c59a3ab190a9449d8c82c2
140141,3,100009,1736.923,0,0,Laptop Lenovo IdeaPad330-15ICH (81FK008HSC),81FK008HSC,Laptopi,Lenovo,cff4d90e314d9e7858cea4b4ba7ffa77
140142,117,,28.504,0,0,Vanjski senzor PT1000,01/AUSPT,IMTEC POTROŠNI,,e241e7a9e60affe1a3a5c253d05c3089
140143,117,,24.701,0,0,Senzor za temperaturu PT1000 Bojler,01/BFPT1000,IMTEC POTROŠNI,,b1fa27961253a3f35c5d938a5978359d
140144,117,,321.923,0,0,CAN modul za proširenje 45,0/CAN-I/O 45,IMTEC POTROŠNI,,e71c283d8a8d084550506a728e6b9b1f
140145,117,,103.504,0,0,CAN- prenaponska zaštita,01/CAN-UES,IMTEC POTROŠNI,,7180995c4a7c60ecfa4a32579df8fab8
140146,117,,454.872,0,0,Interfejs za kontrolu i nadgledanje,01/CMI,IMTEC POTROŠNI,,2c088c1be34e3e03bed94c42456b6377
140147,117,,65.513,0,0,Relejni modul bez potencijala,01/HIREL-PF,IMTEC POTROŠNI,,2e37b31263d4cae812ea44909c85dc85
140148,117,,84.53,0,0,Relejni modul 230V sa razdjelnikom snage,01/HIREL-230V,IMTEC POTROŠNI,,de9a7f074d013cb96e715b305db1344b
140149,117,,31.325,0,0,Senzor za temperaturu PT1000 Kotao,01/KEPT1000,IMTEC POTROŠNI,,eb750f36d53e11d02df61fb7c9759c90
140150,117,,46.538,0,0,Senzor za temperaturu PT1000 Kollektor,01/KFPT1000,IMTEC POTROŠNI,,32abf124e98738174fc0643cefdcd7a5
140151,117,,109.231,0,0,Stezna ploča UVR16x2-R,01/KLEMMPLATTE UVR16X2,IMTEC POTROŠNI,,fc66846ec12d7603177451ca789b075f
140152,117,,121.538,0,0,Senzor za pritisak 0-6 bar,01/PRS0-6,IMTEC POTROŠNI,,a9c51a8c87d807e63d4ed40c358b4a7d
140153,117,,156.709,0,0,Senzor za pritisak 0-6 bar DL-BUS,01/PRS0-6DL,IMTEC POTROŠNI,,36ca8bb261870388ab006f7a8a208c61
140154,117,,137.692,0,0,Bežični sobni senzor,01/RAS-F,IMTEC POTROŠNI,,3aa2ec59af4183fa22d17e76a7b1c1fb
